,model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
0,RexNet,5.0,0.5,4.0,1.0,16.0,1e-07,0.0,0.5719419094419095,0.5815217391304348,0.6686507936507937,0.5242914979757085,0.7352682144745535,0.3614457831325301,0.5092592592592593,0.5769230769230769,0.2631578947368421,0.0,1097.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291621_federated_metrics.csv,
1,RexNet,5.0,0.5,4.0,1.0,32.0,1e-07,4.0,0.4186154552575426,0.4945652173913043,0.4563492063492063,0.391299476312264,0.8222385457028514,0.4285714285714285,0.4074074074074074,0.4363636363636363,0.4210526315789473,0.0,1239.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291632_federated_metrics.csv,
2,ResNet50,5.0,0.5,4.0,1.0,16.0,1e-07,3.0,0.0263157894736842,0.5978260869565217,0.0138888888888888,0.25,0.6586848847244097,0.0338983050847457,0.4722222222222222,0.5,0.0175438596491228,0.0,2649.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291637_federated_metrics.csv,
3,ResNext50,5.0,0.5,4.0,1.0,16.0,1e-07,4.0,0.5873225141517824,0.6521739130434783,0.6190476190476191,0.5718599033816425,0.6532630311406177,0.6482758620689655,0.5277777777777778,0.5340909090909091,0.8245614035087719,4.0,2643.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291638_federated_metrics.csv,
4,RexNet,5.0,0.5,4.0,1.0,16.0,1e-09,0.0,0.5357539930710663,0.5543478260869565,0.625,0.4711615377376247,0.7330818895412529,0.5666666666666667,0.5185185185185185,0.5396825396825397,0.5964912280701754,0.0,1092.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291643_federated_metrics.csv,
5,RexNet,5.0,0.5,4.0,1.0,32.0,1e-09,1.0,0.4571196309739867,0.467391304347826,0.5654761904761905,0.389547502047502,0.867647775489351,0.5918367346938775,0.6296296296296297,0.7073170731707317,0.5087719298245614,0.0,1266.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291654_federated_metrics.csv,
6,RexNet,5.0,1.0,4.0,1.0,16.0,1e-07,0.0,0.4370288248337028,0.4836956521739129,0.490079365079365,0.3960930373973852,0.8217788254437239,0.6818181818181818,0.6111111111111112,0.6,0.7894736842105263,0.0,1574.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291709_federated_metrics.csv,
7,RexNet,5.0,1.0,4.0,1.0,32.0,1e-07,3.0,0.4652664120749227,0.4891304347826087,0.5496031746031746,0.4073503922641854,0.8337955183309058,0.6751592356687898,0.5277777777777778,0.53,0.9298245614035088,0.0,1721.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291724_federated_metrics.csv,
8,ResNext50,5.0,0.5,4.0,1.0,32.0,1e-07,4.0,0.593848405772355,0.5543478260869565,0.7996031746031746,0.4739444073083779,0.6908972030100615,0.6274509803921569,0.4722222222222222,0.5,0.8421052631578947,0.0,4778.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291730_federated_metrics.csv,
9,RexNet,5.0,1.0,4.0,1.0,16.0,1e-09,2.0,0.4575581395348838,0.5108695652173914,0.5099206349206349,0.4168181818181818,0.8041998588520547,0.6835443037974683,0.5370370370370371,0.5346534653465347,0.9473684210526316,0.0,1055.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\2907\07291736_federated_metrics.csv,
