model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
ResNet18,5,0.5,4,1,16,0.01,0,0.5785914179104478,0.4076086956521739,1.0,0.4076086956521739,1063534214456.282,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,0,917,C:\Users\matti\Documents\GitHub\FLProject\csv\2006\06201857_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,0.01,3,0.5906884707287933,0.4565217391304347,0.9603174603174602,0.4287145045363497,10494975.305112831,0.6951219512195121,0.5370370370370371,0.5327102803738317,1.0,2,1252,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202055_federated_metrics.csv,
ResNet18,5,0.5,4,1,16,0.001,4,0.6426944801944803,0.7880434782608696,0.5773809523809523,0.9064327485380116,16.459326787892245,0.0,0.4629629629629629,0.0,0.0,0,1255,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202106_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,0.001,0,0.8505230679591079,0.8967391304347826,0.7480158730158731,1.0,3.2238697855044967,0.6422018348623854,0.6388888888888888,0.6730769230769231,0.6140350877192983,3,1290,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202118_federated_metrics.csv,
ResNet18,5,0.5,4,1,16,0.0001,4,1.0,1.0,1.0,1.0,0.0077958645934299,0.379746835443038,0.5462962962962963,0.6818181818181818,0.2631578947368421,0,1214,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202129_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,0.0001,4,0.978537360890302,0.9836956521739132,0.9722222222222222,0.986842105263158,0.0335896084763352,0.2465753424657534,0.4907407407407407,0.5625,0.1578947368421052,0,1220,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202141_federated_metrics.csv,
ResNet18,5,0.5,4,1,16,1e-05,4,0.9415441176470588,0.9565217391304348,0.8928571428571428,1.0,0.1451222591264092,0.0,0.4722222222222222,0.0,0.0,0,1255,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202152_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,1e-05,4,0.9125234962406016,0.9347826086956522,0.8551587301587302,0.9821428571428572,0.1852380698141844,0.4444444444444444,0.4907407407407407,0.5238095238095238,0.3859649122807017,0,1279,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202204_federated_metrics.csv,
ResNet18,5,0.5,4,1,16,1e-06,4,0.6483974358974358,0.6032608695652173,0.8928571428571429,0.5094260620915032,0.6237988316494485,0.60431654676259,0.4907407407407407,0.5121951219512195,0.7368421052631579,4,1264,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202216_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,1e-06,4,0.5785914179104478,0.4076086956521739,1.0,0.4076086956521739,1.3717631846666336,0.6832298136645962,0.5277777777777778,0.5288461538461539,0.9649122807017544,1,1247,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202227_federated_metrics.csv,
ResNet18,5,0.5,4,1,16,1e-07,4,0.1442811574390521,0.6141304347826086,0.0813492063492063,0.8333333333333333,0.6363707942807155,0.0,0.4722222222222222,0.0,0.0,0,1189,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202238_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,1e-07,4,0.2836020894844424,0.4565217391304347,0.2658730158730158,0.3051470588235294,0.8258177268764247,0.6299212598425197,0.5648148148148148,0.5714285714285714,0.7017543859649122,3,1207,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202249_federated_metrics.csv,
ResNet18,5,0.5,4,1,16,1e-08,2,0.5587568058076225,0.4510869565217391,0.8531746031746031,0.4171052631578947,0.8369537306868512,0.4954128440366973,0.4907407407407407,0.5192307692307693,0.4736842105263157,0,1239,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202301_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,1e-08,4,0.0,0.5815217391304348,0.0,0.5,0.8402430143045343,0.0338983050847457,0.4722222222222222,0.5,0.0175438596491228,0,1244,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202312_federated_metrics.csv,
ResNet18,5,0.5,4,1,16,1e-09,3,0.560263155536036,0.4184782608695652,0.9087301587301588,0.407004562145321,0.8819510800682979,0.7,0.5555555555555556,0.5436893203883495,0.9824561403508772,0,967,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202323_federated_metrics.csv,
ResNet18,5,0.5,4,1,32,1e-09,4,0.4708605664488017,0.3913043478260869,0.6666666666666666,0.364520202020202,0.8387666079013244,0.5333333333333333,0.4814814814814814,0.5079365079365079,0.5614035087719298,0,1246,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202335_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,0.01,0,0.140625,0.5380434782608696,0.25,0.8478260869565217,0.7639748564232951,0.0,0.4722222222222222,0.0,0.0,0,1609,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2006\06202350_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,0.01,2,0.5785914179104478,0.4076086956521739,1.0,0.4076086956521739,0.712161681574324,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,2,1599,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210005_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,0.001,4,0.8655364296256137,0.9021739130434784,0.7936507936507937,0.97140522875817,0.4597278362059074,0.6993865030674846,0.5462962962962963,0.5377358490566038,1.0,3,1594,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210020_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,0.001,4,0.9442146089204914,0.9565217391304348,0.9087301587301588,0.984375,0.1468852733707298,0.273972602739726,0.5092592592592593,0.625,0.175438596491228,3,1633,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210036_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,0.0001,2,1.0,1.0,1.0,1.0,0.0057826258075099,0.3013698630136986,0.5277777777777778,0.6875,0.1929824561403508,3,1608,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210051_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,0.0001,3,1.0,1.0,1.0,1.0,0.0022164317772916,0.2058823529411764,0.5,0.6363636363636364,0.1228070175438596,0,1603,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210106_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-05,4,0.9640323091542604,0.9728260869565216,0.9325396825396826,1.0,0.1046390872772621,0.2535211267605634,0.5092592592592593,0.6428571428571429,0.1578947368421052,2,1618,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210121_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-05,4,0.9421347622567136,0.9565217391304348,0.9186507936507936,0.9694444444444446,0.1563725718499525,0.3376623376623376,0.5277777777777778,0.65,0.2280701754385964,0,1628,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210136_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-06,4,0.6495238095238095,0.625,0.8551587301587301,0.525600783277716,0.6184348399224489,0.5611510791366906,0.4351851851851852,0.4756097560975609,0.6842105263157895,2,1643,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210152_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-06,4,0.6982190860215053,0.7989130434782608,0.5753968253968254,0.8958333333333334,0.506898820400238,0.2727272727272727,0.5555555555555556,1.0,0.1578947368421052,0,1596,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210207_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-07,0,0.3638191763191763,0.4510869565217391,0.3908730158730158,0.3475378787878787,0.7848550683778265,0.7256637168141593,0.7129629629629629,0.7321428571428571,0.7192982456140351,2,1648,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210222_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-07,1,0.5032275132275132,0.4347826086956521,0.7142857142857143,0.3919310218794111,0.8291850770297258,0.3132530120481928,0.4722222222222222,0.5,0.2280701754385964,0,1591,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210237_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-08,2,0.5987224157955865,0.6141304347826086,0.7083333333333333,0.5193236714975845,0.6785163756297983,0.6521739130434783,0.5555555555555556,0.5555555555555556,0.7894736842105263,0,1627,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210253_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-08,4,0.062037037037037,0.5489130434782609,0.0376984126984126,0.2083333333333333,0.8015739529029182,0.0,0.4722222222222222,0.0,0.0,0,1624,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210308_federated_metrics.csv,
